,link,address,price,minimun_rent_range,movein,moveout,bedroom,bathroom,furnishied,amenity,listingtype,postedby,kind,renew,broker,borough1,borough2,coordinates
3800,https://www.leasebreak.com/short-term-rental-details/54612/305-west-50th-street,305 West 50th Street,5500,1 MONTH MIN,"Jul 31, 2019","Aug 30, 2019",1,1,Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Short Term Rental,Professional Landlord ,Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.,Midtown West, Manhattan,"{'lat': 40.7626916, 'lng': -73.9861736}"
3801,https://www.leasebreak.com/short-term-rental-details/79960/330-east-38th-street,"330 East 38th Street, 11-L",5500,6 MONTH MIN,Immediate,"Jan 01, 2020",2,2,Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym', 'High-rise']",Short Term Rental,Agent/Broker [Rutenberg],,Condo,Probably. Please confirm.,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.7463583, 'lng': -73.9725287}"
3802,https://www.leasebreak.com/short-term-rental-details/1113/805-columbus-avenue,"805 Columbus Avenue, 5E",5500,1 MONTH MIN,"Jul 29, 2019","Aug 28, 2019",1,1,Furnished Only,"['Doorman', 'Elevator']",Short Term Rental,Agent/Broker [Oxford Property Group],Rental building,Yes,The poster of this listing is charging a brokerage fee.,Upper West Side, Manhattan,"{'lat': 40.7949468, 'lng': -73.9656011}"
3803,https://www.leasebreak.com/short-term-rental-details/150106/60-east-55th-street,"60 East 55th Street, 14-D",5500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Gym', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Compass],"Robert Bernstein, (917) 686-XXXXClick to view","Jonathan Goldstein, (917) 834-XXXXClick to view",940,Midtown East, Manhattan,"{'lat': 40.7605465, 'lng': -73.9727699}"
3804,https://www.leasebreak.com/short-term-rental-details/105821/189-west-89th-street,"189 West 89th Street, 9Q",5500,1 MONTH MIN,"Jul 31, 2019","Aug 31, 2019",1,1,Furnished Only,"['Renovated', 'Exceptional Light', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Short Term Rental,Agent/Broker [Stay Equity],Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.,Upper West Side, Manhattan,"{'lat': 40.78976960000001, 'lng': -73.973064}"
3805,https://www.leasebreak.com/short-term-rental-details/152927/301-east-79th-street,"301 East 79th Street, 31H",5500,24.5 MONTH MIN,"Jul 15, 2019","Jul 14, 2021",2,2,Unfurnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Halstead],,Condo,Probably. Please confirm.,Upper East Side, Manhattan,"{'lat': 40.7733248, 'lng': -73.9542889}"
3806,https://www.leasebreak.com/short-term-rental-details/141920/151-west-21st-street,"151 West 21st Street, 7-D",5500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Furnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Compass],"Emilio Martinez, (212) 365-XXXXClick to view",,Condo,Chelsea / Hudson Yards, Manhattan,"{'lat': 40.775688, 'lng': -73.958154}"
3807,https://www.leasebreak.com/short-term-rental-details/141923/151-west-21st-street,"151 West 21st Street, 7-D",5500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1,Furnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Compass],"Emilio Martinez, (212) 365-XXXXClick to view",695,,Chelsea / Hudson Yards, Manhattan,"{'lat': 40.775688, 'lng': -73.958154}"
3808,https://www.leasebreak.com/short-term-rental-details/114019/401-east-34th-street,401 East 34th Street,5500,1 MONTH MIN,"Jul 24, 2019","Aug 23, 2019",1,1,Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Private Outdoor Space', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Short Term Rental,Professional Landlord ,Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.7435873, 'lng': -73.9725328}"
3809,https://www.leasebreak.com/short-term-rental-details/143462/330-east-38th-street,"330 East 38th Street, 24-K",5500,12 MONTH MIN,Immediate,"Jul 02, 2020",2,2,Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym', 'High-rise']",Standard 12 Month Rental,Agent/Broker [City Connections],1134,,Condo,Murray Hill / Kips Bay, Manhattan,"{'lat': 40.7463583, 'lng': -73.9725287}"
3810,https://www.leasebreak.com/short-term-rental-details/140910/167-east-61st-street,"167 East 61st Street, 24B",5500,12 MONTH MIN,Immediate,"Jul 02, 2020",1,1.5,Unfurnished Only,"['Private Outdoor Space', 'Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Corcoran Group],"Natalia Kaminskaya, (646) 396-XXXXClick to view",980,,Upper East Side, Manhattan,"{'lat': 40.7632269, 'lng': -73.9658271}"
